idna_subject,checker_type,destination,source,tested_at,session_id
1-1-1-.ib.adnxs.com,AVAILABILITY,domains.list,domains.list,2026-08-19 07:12:35.651642+00:00,59e67631a188ae64491000f2
cdn.rove.cl,AVAILABILITY,domains.list,domains.list,2026-08-19 07:13:37.880717+00:00,59e67631a188ae64491000f2
cryweb.github.io,AVAILABILITY,domains.list,domains.list,2026-08-19 07:14:25.464113+00:00,59e67631a188ae64491000f2
google.com,AVAILABILITY,domains.list,domains.list,2026-08-19 07:14:27.237461+00:00,59e67631a188ae64491000f2
i-52b.-xxx.ut.bench.utorrent.com,AVAILABILITY,domains.list,domains.list,2026-08-19 07:14:56.268310+00:00,59e67631a188ae64491000f2
mangas-porno-.has.it,AVAILABILITY,domains.list,domains.list,2026-08-19 07:16:07.128554+00:00,59e67631a188ae64491000f2
metrika.ron.si,AVAILABILITY,domains.list,domains.list,2026-08-19 07:16:35.336234+00:00,59e67631a188ae64491000f2
paris-.blogspot.ca,AVAILABILITY,domains.list,domains.list,2026-08-19 07:17:36.583126+00:00,59e67631a188ae64491000f2
paris-.blogspot.ch,AVAILABILITY,domains.list,domains.list,2026-08-19 07:18:28.898289+00:00,59e67631a188ae64491000f2
paris-.blogspot.co.id,AVAILABILITY,domains.list,domains.list,2026-08-19 07:19:01.811673+00:00,59e67631a188ae64491000f2
paris-.blogspot.co.uk,AVAILABILITY,domains.list,domains.list,2026-08-19 07:20:03.192892+00:00,59e67631a188ae64491000f2
paris-.blogspot.com,AVAILABILITY,domains.list,domains.list,2026-08-19 07:20:26.345611+00:00,59e67631a188ae64491000f2
paris-.blogspot.com.ar,AVAILABILITY,domains.list,domains.list,2026-08-19 07:21:36.554691+00:00,59e67631a188ae64491000f2
paris-.blogspot.com.br,AVAILABILITY,domains.list,domains.list,2026-08-19 07:22:34.977012+00:00,59e67631a188ae64491000f2
paris-.blogspot.com.es,AVAILABILITY,domains.list,domains.list,2026-08-19 07:23:37.141378+00:00,59e67631a188ae64491000f2
paris-.blogspot.com.tr,AVAILABILITY,domains.list,domains.list,2026-08-19 07:24:18.253382+00:00,59e67631a188ae64491000f2
paris-.blogspot.de,AVAILABILITY,domains.list,domains.list,2026-08-19 07:25:19.008653+00:00,59e67631a188ae64491000f2
paris-.blogspot.gr,AVAILABILITY,domains.list,domains.list,2026-08-19 07:26:00.236667+00:00,59e67631a188ae64491000f2
paris-.blogspot.it,AVAILABILITY,domains.list,domains.list,2026-08-19 07:27:06.491262+00:00,59e67631a188ae64491000f2
